"","Company.Names","Cars.Names","Engines","CC.Battery.Capacity","HorsePower","Total.Speed","Performance.0...100..KM.H","Cars.Prices","Fuel.Types","Seats","Torque","BodyType","MPG","FuelTank"
"301","Nissan","Pulsar GTI-R","2.0L Turbo Inline-4","1998 cc","230 HP","225 km/h","6.0 sec","$30,000 ","Petrol","5","280 Nm","Coupe","20","15.9"
"302","Nissan","Almera Tino","1.8L Inline-4","1769 cc","114 HP","180 km/h","12.5 sec","$15,000 ","Petrol","5","160 Nm","Hatchback","28","15.9"
"303","Nissan","Lucino","1.6L Inline-4","1597 cc","115 HP","185 km/h","10.5 sec","$12,000 ","Petrol","5","150 Nm","Sedan","30","13.2"
"304","Nissan","Rasheen","1.5L Inline-4","1497 cc","105 HP","165 km/h","13.0 sec","$10,000 ","Petrol","5","135 Nm","SUV","26","13.2"
"305","Nissan","Mistral","2.7L Turbo Diesel","2663 cc","125 HP","160 km/h","12.5 sec","$25,000 ","Diesel","7","260 Nm","SUV","22","19"
"306","Nissan","Patrol Y60","4.2L Inline-6","4169 cc","155 HP","160 km/h","12.0 sec","$45,000 ","Diesel","7","330 Nm","SUV","15","25.1"
"307","Nissan","X-Trail GT","2.0L Turbo Inline-4","1998 cc","280 HP","215 km/h","6.4 sec","$38,000 ","Petrol","5","310 Nm","SUV","22","17.2"
"308","Nissan","Terrano Regulus","3.3L V6","3275 cc","170 HP","175 km/h","10.0 sec","$28,000 ","Petrol","5","290 Nm","SUV","20","21.1"
"309","Nissan","President","4.5L V8","4494 cc","280 HP","210 km/h","7.5 sec","$70,000 ","Petrol","5","400 Nm","Sedan","18","21.1"
"310","Nissan","Cima","4.1L V8","4130 cc","270 HP","210 km/h","8.0 sec","$60,000 ","Petrol","5","390 Nm","Sedan","19","21.1"
"311","Nissan","Leopard J. Ferie","3.0L V6 Turbo","2960 cc","255 HP","215 km/h","6.5 sec","$45,000 ","Petrol","5","340 Nm","Sedan","20","19"
"312","Nissan","Gloria Gran Turismo","3.0L V6 Turbo","2960 cc","255 HP","220 km/h","6.5 sec","$50,000 ","Petrol","5","340 Nm","Sedan","22","19"
"313","Nissan","Infiniti Q45*","4.5L V8","4494 cc","340 HP","240 km/h","6.2 sec","$50,000 ","Petrol","5","450 Nm","Sedan","17","22"
"314","Nissan","Datsun 240Z","2.4L Inline-6","2393 cc","151 HP","210 km/h","8.0 sec","$45,000 ","Petrol","2","198 Nm","Coupe","21","15.9"
"315","Nissan","280ZX","2.8L Inline-6","2753 cc","145 HP","205 km/h","9.5 sec","$35,000 ","Petrol","2","210 Nm","Coupe","20","19"
"316","Nissan","Silvia S13","1.8L Turbo Inline-4","1809 cc","175 HP","215 km/h","6.8 sec","$20,000 ","Petrol","4","230 Nm","Coupe","25","17.2"
"317","Nissan","200SX","2.0L Turbo Inline-4","1998 cc","200 HP","225 km/h","7.0 sec","$25,000 ","Petrol","4","260 Nm","Coupe","25","15.9"
"318","Porsche","Panamera Platinum Edition","2.9L V6 Twin Turbo","2894 cc","330 HP","270 km/h","5.4 sec","$102,000 ","Petrol","4","450 Nm","Sedan","21","23.7"
"319","Porsche","Panamera E-Hybrid","2.9L V6 + Electric Motor","17.9 kWh Battery","455 HP","280 km/h","4.4 sec","$115,000 ","Hybrid","4","700 Nm","Sedan","23","23.7"
"320","Porsche","Panamera 4 E-Hybrid Sport Turismo","2.9L V6 + Electric Motor","17.9 kWh Battery","455 HP","280 km/h","4.4 sec","$120,000 ","Hybrid","4","700 Nm","Sedan","23","23.7"
"321","Porsche","Panamera Turbo S E-Hybrid","4.0L V8 + Electric Motor","17.9 kWh Battery","690 HP","315 km/h","3.2 sec","$190,000 ","Hybrid","4","870 Nm","Sedan","20","23.7"
"322","Porsche","Panamera 4 Executive","2.9L V6 Twin Turbo","2894 cc","330 HP","270 km/h","5.6 sec","$95,000 ","Petrol","4","450 Nm","Sedan","21","23.7"
"323","Porsche","Cayenne","3.0L V6 Turbo","2995 cc","335 HP","245 km/h","5.9 sec","$80,000 ","Petrol","5","450 Nm","SUV","20","23.7"
"324","Porsche","Cayenne Coupe","3.0L V6 Turbo","2995 cc","335 HP","245 km/h","6.0 sec","$85,000 ","Petrol","5","450 Nm","Coupe","20","23.7"
"325","Porsche","Cayenne S","2.9L V6 Twin Turbo","2894 cc","434 HP","265 km/h","5.0 sec","$95,000 ","Petrol","5","550 Nm","SUV","19","23.7"
"326","Porsche","Cayenne Turbo","4.0L V8 Twin Turbo","3996 cc","541 HP","286 km/h","4.0 sec","$130,000 ","Petrol","5","770 Nm","SUV","17","23.7"
"327","Porsche","Cayenne GTS","4.0L V8 Twin Turbo","3996 cc","453 HP","270 km/h","4.5 sec","$110,000 ","Petrol","5","620 Nm","Coupe","18","23.7"
"328","Porsche","Cayenne Turbo S E-Hybrid","4.0L V8 + Electric Motor","17.9 kWh Battery","670 HP","295 km/h","3.6 sec","$170,000 ","Hybrid","5","900 Nm","SUV","19","23.7"
"329","Porsche","911 Carrera 4","3.0L Twin-Turbo Flat-6","2981 cc","379 hp","293 km/h","4.2","$106,500 ","Petrol","4","450 Nm","Coupe","22","16.9"
"330","Porsche","911 Carrera 4S","3.0L Twin-Turbo Flat-6","2981 cc","443 hp","306 km/h","3.4","$113,300 ","Petrol","4","528 Nm","Coupe","21","16.9"
"331","Porsche","911 Targa 4","3.0L Twin-Turbo Flat-6","2981 cc","379 hp","289 km/h","4.4","$121,300 ","Petrol","4","450 Nm","Convertible","21","16.9"
"332","Porsche","911 Turbo","3.8L Twin-Turbo Flat-6","3745 cc","572 hp","320 km/h","2.7","$197,200 ","Petrol","4","750 Nm","Coupe","18","17.6"
"333","Porsche","911 Turbo S","3.8L Twin-Turbo Flat-6","3745 cc","640 hp","330 km/h","2.6","$230,400 ","Petrol","4","800 Nm","Coupe","17","17.6"
"334","Porsche","911 GT3","4.0L Naturally Aspirated Flat-6","3996 cc","502 hp","318 km/h","3.4","$161,100 ","Petrol","2","469 Nm","Coupe","16","17.6"
"335","Porsche","911 GT3 RS","4.0L Naturally Aspirated Flat-6","3996 cc","518 hp","296 km/h","3.2","$241,300 ","Petrol","2","465 Nm","Coupe","15","17.6"
"336","Porsche","911 Dakar","3.0L Twin-Turbo Flat-6","2981 cc","473 hp","240 km/h","3.4","$222,000 ","Petrol","2","570 Nm","Coupe","17","17.6"
"337","Porsche","Taycan","Dual Electric Motors","79.2 kWh","402 hp","230 km/h","5.4","$86,700 ","Electric","4","344 Nm","Sedan","0","0"
"338","Porsche","Taycan 4S","Dual Electric Motors","79.2 kWh","522 hp","250 km/h","4","$103,800 ","Electric","4","640 Nm","Sedan","0","0"
"339","Porsche","Taycan Turbo","Dual Electric Motors","93.4 kWh","670 hp","260 km/h","3.2","$150,900 ","Electric","4","850 Nm","Sedan","0","0"
"340","Porsche","Taycan Turbo S","Dual Electric Motors","93.4 kWh","750 hp","260 km/h","2.8","$185,000 ","Electric","4","1050 Nm","Sedan","0","0"
"341","Porsche","Taycan GTS","Dual Electric Motors","93.4 kWh","590 hp","250 km/h","3.5","$132,750 ","Electric","4","850 Nm","Sedan","0","0"
"342","Porsche","Taycan Cross Turismo","Dual Electric Motors","93.4 kWh","469 hp","220 km/h","4.8","$97,700 ","Electric","5","500 Nm","Van","0","0"
"343","Porsche","Taycan Sport Turismo","Dual Electric Motors","79.2 kWh","509 hp","240 km/h","4.1","$104,000 ","Electric","5","650 Nm","Van","0","0"
"344","Porsche","718 Cayman GT4","4.0L Naturally Aspirated Flat-6","3995 cc","414 hp","302 km/h","4.2","$100,200 ","Petrol","2","420 Nm","Coupe","19","16.9"
"345","Porsche","718 Cayman GT4 RS","4.0L Naturally Aspirated Flat-6","3996 cc","493 hp","315 km/h","3.2","$141,700 ","Petrol","2","450 Nm","Coupe","17","16.9"
"346","Porsche","718 Boxster","2.0L Turbo Flat-4","1988 cc","300 hp","275 km/h","4.9","$65,500 ","Petrol","2","380 Nm","Convertible","24","16.9"
"347","Porsche","718 Boxster T","2.0L Turbo Flat-4","1988 cc","300 hp","275 km/h","4.7","$69,600 ","Petrol","2","380 Nm","Convertible","23","16.9"
"348","Porsche","718 Boxster GTS","4.0L Naturally Aspirated Flat-6","3995 cc","394 hp","293 km/h","4.3","$90,300 ","Petrol","2","430 Nm","Convertible","21","16.9"
"349","Porsche","718 Spyder","4.0L Naturally Aspirated Flat-6","3995 cc","414 hp","301 km/h","4.1","$98,300 ","Petrol","2","420 Nm","Convertible","20","16.9"
"350","Porsche","Panamera Base","2.9L Twin-Turbo V6","2894 cc","325 hp","265 km/h","5.6","$92,300 ","Petrol","4","450 Nm","Sedan","21","23.7"
"351","Porsche","Panamera 4 E-Hybrid","2.9L Twin-Turbo V6 + Electric Motor","2894 cc","462 hp","280 km/h","4.4","$113,300 ","Hybrid","4","700 Nm","Sedan","23","23.7"
"352","Porsche","Panamera 4S ","2.9L Twin-Turbo V6","2894 cc","443 hp","289 km/h","4.1","$105,000 ","Petrol","4","550 Nm","Sedan","20","23.7"
"353","Porsche","Macan Base","2.0L Turbo Inline-4","1984 cc","265 hp","232 km/h","6.4","$58,000 ","Petrol","5","400 Nm","SUV","21","19.8"
"354","Porsche","Macan T","2.0L Turbo Inline-4","1984 cc","265 hp","233 km/h","6.2","$63,000 ","Petrol","5","400 Nm","SUV","21","19.8"
"355","Porsche","Cayenne S Hybrid","3.0L V6 + Electric Motor","2995 cc","380 hp","242 km/h","6.5","$85,500 ","Hybrid","5","580 Nm","SUV","22","23.7"
"356","Porsche","Cayenne Coupe Turbo E-Hybrid","4.0L Twin-Turbo V8 + Electric Motor","3996 cc","728 hp","295 km/h","3.6","$182,900 ","Hybrid","4","950 Nm","SUV","19","23.7"
"357","Porsche","Taycan Base","Dual Electric Motors","79.2 kWh","321 hp","230 km/h","5.4","$86,700 ","Electric","4","345 Nm","Sedan","0","0"
"358","Cadillac","CT4","2.0L Turbo Inline-4 Gasoline","2000 cc","237 hp","250 km/h","6.0 sec","$34,395 ","Petrol","5","350 Nm","Sedan","27","17"
"359","Cadillac","CT4-V","2.7L Turbo Inline-4 Gasoline","2700 cc","325 hp","260 km/h","4.9 sec","$46,595 ","Petrol","5","500 Nm","Sedan","23","17"
"360","Porsche","911 Carrera 4 GTS","3.0L Twin-Turbo Flat-6","2981 cc","473 hp","311 km/h","3.3 sec","$137,000 ","Petrol","4","570 Nm","Coupe","20","16.9"
"361","Porsche","911 Targa 4 GTS","3.0L Twin-Turbo Flat-6","2981 cc","473 hp","307 km/h","3.5 sec","$157,300 ","Petrol","4","570 Nm","Convertible","20","16.9"
